charging_rate,suucess_rate
3.7,0
3.8000000000000003,0
3.9000000000000004,0
4.0,0
4.1000000000000005,0
4.2,0
4.300000000000001,0
4.4,0
4.5,0
4.6000000000000005,0
4.7,0
4.8,30.2
4.9,78.6
5.0,94.2
5.1,98.8
5.2,99.8
5.3,99.8
5.4,100.0
5.5,100
5.6,100
5.7,100
5.8,100
5.9,100
6.0,100
6.1000000000000005,100
6.2,100
6.300000000000001,100
6.4,100
6.5,100
6.6000000000000005,100
6.7,100
6.800000000000001,100
6.9,100
7.0,100
7.1000000000000005,100
7.2,100
7.300000000000001,100
7.4,100
7.5,100
7.6000000000000005,100
